forpa,tailo,sampa,ipa,ipa_tone
gngh,kngh,g-@N?,k-ŋ̩ʔ,k-ŋ̩ʔ_{0}
go,koo,g-O,k-ɔ,k-ɔ_{0}
goh,kooh,g-O?,k-ɔʔ,k-ɔʔ_{0}
gok,kok,g-Ok,k-ɔk,k-ɔk_{0}
gong,kong,g-ON,k-ɔŋ,k-ɔŋ_{0}
gonn,konn,g-o~,k-ɔ̃,k-ɔ̃_{0}
gonnh,konnh,g-o~?,k-ɔ̃ʔ,k-ɔ̃ʔ_{0}
gop,kop,g-Op,k-ɔp,k-ɔp_{0}
gu,ku,g-u,k-u,k-u_{0}
gua,kua,g-u-a,k-u-a,k-u_{0}-a_{0}
guah,kuah,g-u-a?,k-u-aʔ,k-u_{0}-aʔ_{0}
guai,kuai,g-u-ai,k-u-ai,k-u_{0}-ai_{0}
guainn,kuainn,g-u~-a~i~,k-u-ãi,k-u_{0}-ãi_{0}
guainnh,kuainnh,g-u~-a~i~?,k-u-ãiʔ,k-u_{0}-ãiʔ_{0}
guak,kuak,g-u-ak,k-u-ak,k-u_{0}-ak_{0}
guan,kuan,g-u-an,k-u-an,k-u_{0}-an_{0}
guann,kuann,g-u~-a~,k-u-ã,k-u_{0}-ã_{0}
guat,kuat,g-u-at,k-u-at,k-u_{0}-at_{0}
gue,kue,g-u-E,k-u-e,k-u_{0}-e_{0}
